"sample" "body_length" "age" "mass"
"1" "1" 1.6840828 3 NA
"2" "2" 4.3083525 7 NA
"3" "3" 4.5366323 11 8.459178
"4" "4" 1.0883156 8 3.871743
"5" "5" 3.5529698 10 3.119359
"6" "6" 8.1889194 4 9.37979
"7" "7" 8.446919 8 7.139136
"8" "8" 0.8932405 11 7.40665
"9" "9" 1.1009385 9 NA
"10" "10" 8.4612288 3 12.258535
"11" "11" 2.8990112 10 19.778367
"12" "12" 5.3681297 5 3.990704
"13" "13" 2.8823068 3 8.649901
"14" "14" 3.8172869 3 9.058355
"15" "15" 4.1513766 1 5.007906
"16" "16" 1.7283888 7 10.061725
"17" "17" 2.0265398 0 8.801893
"18" "18" 3.8518742 4 1.109786
"19" "19" 10.707075 6 16.109947
"20" "20" 6.6833632 11 NA
