,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
431,S66184821,Mallard,Anas platyrhynchos,3/24/2020,6:09 PM,2,58,US-OK,36.1431952,-95.9334761,3154,3,2020
676,S66184821,White-winged Dove,Zenaida asiatica,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
828,S66184821,Mourning Dove,Zenaida macroura,3/24/2020,6:09 PM,3,58,US-OK,36.1431952,-95.9334761,3154,3,2020
1050,S66184821,Killdeer,Charadrius vociferus,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
1733,S66184821,Cooper's Hawk,Accipiter cooperii,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
1996,S66184821,Yellow-bellied Sapsucker,Sphyrapicus varius,3/24/2020,6:09 PM,2,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2134,S66184821,Red-bellied Woodpecker,Melanerpes carolinus,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2240,S66184821,Downy Woodpecker,Dryobates pubescens,3/24/2020,6:09 PM,3,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2358,S66184821,Northern Flicker,Colaptes auratus,3/24/2020,6:09 PM,4,58,US-OK,36.1431952,-95.9334761,3154,3,2020
2984,S66184821,Blue Jay,Cyanocitta cristata,3/24/2020,6:09 PM,8,58,US-OK,36.1431952,-95.9334761,3154,3,2020
3092,S66184821,American Crow,Corvus brachyrhynchos,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
3905,S66184821,Carolina Wren,Thryothorus ludovicianus,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4032,S66184821,European Starling,Sturnus vulgaris,3/24/2020,6:09 PM,32,58,US-OK,36.1431952,-95.9334761,3154,3,2020
4167,S66184821,Brown Thrasher,Toxostoma rufum,3/24/2020,6:09 PM,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
