"","common_name","total_count","...1","list_ID","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"1","Common Grackle",5092,5642,"S18486321","Quiscalus quiscula",2014-05-17,08:30:00,6,90,"US-VT",43.7615212,-73.3468035,58,5,2014
"2","Common Grackle",5092,5643,"S37075088","Quiscalus quiscula",2017-05-22,18:17:00,4,9,"US-VT",43.7829965,-73.3154315,61,5,2017
"3","Common Grackle",5092,5644,"S37111692","Quiscalus quiscula",2017-05-24,09:29:00,4,42,"US-VT",43.7829965,-73.3154315,62,5,2017
"4","Common Grackle",5092,5645,"S18503364","Quiscalus quiscula",2014-05-20,15:00:00,6,180,"US-VT",43.8264,-73.3808,66,5,2014
"5","Common Grackle",5092,5646,"S37110002","Quiscalus quiscula",2017-05-24,07:40:00,3,80,"US-VT",43.77954,-73.29591,50,5,2017
"6","Common Grackle",5092,5647,"S46841669","Quiscalus quiscula",2018-06-26,07:45:00,4,120,"US-VT",43.77954,-73.29591,61,6,2018
"7","Common Grackle",5092,5648,"S36840514","Quiscalus quiscula",2017-05-13,10:40:00,10,275,"US-MO",38.8636,-92.4504,515,5,2017
"8","Common Grackle",5092,5649,"S36840519","Quiscalus quiscula",2017-05-13,15:40:00,3,20,"US-MO",38.8861469,-92.25842,64,5,2017
"9","Common Grackle",5092,5650,"S111728537","Quiscalus quiscula",2022-05-30,08:08:00,4,302,"US-OK",36.850766,-102.8821564,100,5,2022
"10","Common Grackle",5092,5651,"S99312257","Quiscalus quiscula",2021-12-23,09:27:00,3,28,"US-FL",25.8678737,-81.1156654,123,12,2021
"11","Common Grackle",5092,5652,"S44577908","Quiscalus quiscula",2018-04-14,15:50:00,2,208,"US-MO",38.482151,-90.8242569,222,4,2018
"12","Common Grackle",5092,5653,"S99175554","Quiscalus quiscula",2021-12-20,10:39:00,16,43,"US-FL",25.5357141,-80.4509452,121,12,2021
"13","Common Grackle",5092,5654,"S107972297","Quiscalus quiscula",2021-12-20,17:12:00,15,100,"US-FL",25.1876968,-80.8741825,54,12,2021
"14","Common Grackle",5092,5655,"S99468922","Quiscalus quiscula",2021-12-26,14:29:00,40,44,"US-FL",27.1459228,-80.8641815,80,12,2021
"15","Common Grackle",5092,5656,"S55212997","Quiscalus quiscula",2019-04-21,07:46:00,3,52,"US-OK",36.9177299,-96.6173317,88,4,2019
"16","Common Grackle",5092,5657,"S56366335","Quiscalus quiscula",2019-05-16,15:09:00,1,80,"US-MO",38.70534,-90.74048,46,5,2019
"17","Common Grackle",5092,5658,"S36840484","Quiscalus quiscula",2017-05-13,08:08:00,3,25,"US-MO",38.7055395,-90.7048416,44,5,2017
"18","Common Grackle",5092,5659,"S43354053","Quiscalus quiscula",2018-03-03,17:34:00,2,42,"US-MO",38.6228053,-90.344224,72,3,2018
"19","Common Grackle",5092,5660,"S45195604","Quiscalus quiscula",2018-05-02,19:16:00,1,28,"US-MO",38.6219912,-90.275188,28,5,2018
"20","Common Grackle",5092,5661,"S18386525","Quiscalus quiscula",2014-05-14,10:45:00,1,15,"US-MO",38.637439,-90.2565372,20,5,2014
"21","Common Grackle",5092,5662,"S17855769","Quiscalus quiscula",2014-04-12,08:45:00,48,120,"US-MO",38.690995,-90.2349186,200,4,2014
"22","Common Grackle",5092,5663,"S17294044","Quiscalus quiscula",2014-03-04,08:15:00,1,45,"US-MO",38.6389068,-90.2853806,92,3,2014
"23","Common Grackle",5092,5664,"S17334391","Quiscalus quiscula",2014-03-06,08:20:00,6,55,"US-MO",38.6389068,-90.2853806,214,3,2014
